Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,5045,0,102,240,1.0,Semiurban,Y
Male,No,1,Graduate,No,6181,1004,122,360,1.0,Rural,Y
Female,No,3+,Graduate,No,1582,2599,139,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,6481,0,191,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,-1760,3072,133,360,1.0,Urban,Y
Male,No,2,Graduate,Yes,3425,2231,70,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,3779,398,207,360,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,6583,1287,108,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,5056,3897,147,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,1486,2600,172,360,0.0,Semiurban,N
Female,Yes,2,Graduate,No,2537,1513,159,180,1.0,Rural,Y
Male,Yes,1,Graduate,No,5496,1143,204,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4802,1614,173,360,0.0,Urban,N
Female,Yes,3+,Graduate,No,3552,732,106,360,0.0,Urban,N
Female,No,3+,Graduate,No,3797,0,258,360,1.0,Semiurban,N
Female,Yes,3+,Not Graduate,No,6740,4563,159,360,1.0,Urban,Y
Female,Yes,0,Not Graduate,No,3705,1732,142,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,4779,2097,198,180,1.0,Urban,Y
Male,Yes,3+,Graduate,No,10424,1413,162,120,0.0,Semiurban,N
Male,No,2,Not Graduate,No,1440,397,169,360,1.0,Rural,Y
Female,No,0,Graduate,No,370,1221,274,360,1.0,Semiurban,N
Male,Yes,0,Not Graduate,No,6958,0,136,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,3303,4915,134,360,1.0,Urban,Y
Male,No,3+,Graduate,No,4204,0,155,360,1.0,Urban,Y
Male,No,1,Graduate,No,3047,0,203,360,0.0,Urban,N
Male,Yes,1,Graduate,Yes,4350,839,74,240,1.0,Rural,Y
Female,Yes,0,Graduate,Yes,8996,3432,51,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,7005,1521,120,240,1.0,Rural,Y
Female,No,3+,Graduate,No,7155,0,68,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,1459,3381,128,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,2122,2596,175,360,0.0,Semiurban,N
Female,Yes,3+,Not Graduate,No,-2097,2307,105,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,2976,2573,78,360,0.0,Rural,N
Male,Yes,1,Not Graduate,No,7391,5091,153,360,1.0,Rural,Y
Female,Yes,0,Graduate,No,6292,4777,193,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,4446,469,65,120,1.0,Urban,Y
Male,Yes,1,Not Graduate,Yes,4944,3935,191,360,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,3277,2074,190,360,0.0,Semiurban,N
Male,No,2,Graduate,No,5511,2248,197,180,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,6914,0,210,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,960,1244,260,360,1.0,Semiurban,N
Male,No,1,Graduate,No,5749,280,132,360,0.0,Urban,N
Male,No,0,Not Graduate,No,7331,2742,155,360,1.0,Urban,Y
Male,No,2,Graduate,No,3962,3106,129,180,1.0,Rural,Y
Female,No,2,Graduate,No,6751,0,150,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,12036,1466,226,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,4739,3182,82,360,1.0,Semiurban,Y
Female,No,3+,Graduate,Yes,5983,1219,106,360,0.0,Rural,N
Male,No,0,Graduate,No,3154,2593,218,360,1.0,Rural,Y
Male,Yes,3+,Graduate,No,5453,2026,201,180,1.0,Urban,Y
Male,No,0,Graduate,No,6150,2012,131,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5487,1093,192,360,1.0,Urban,Y
Female,Yes,0,Graduate,Yes,2450,0,167,360,1.0,Semiurban,Y
Female,Yes,3+,Graduate,Yes,5515,0,225,360,0.0,Rural,N
Male,Yes,2,Graduate,No,8655,2564,153,360,0.0,Rural,N
Female,Yes,0,Not Graduate,No,6121,1529,201,120,0.0,Semiurban,N
Female,Yes,1,Graduate,No,7404,1292,282,360,0.0,Semiurban,N
Male,No,2,Graduate,No,4407,864,179,360,1.0,Rural,Y
Female,Yes,0,Graduate,Yes,6874,1042,152,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,5698,3070,186,360,1.0,Semiurban,Y
Female,No,3+,Graduate,No,2622,997,131,360,1.0,Rural,Y
Female,No,1,Graduate,No,5796,0,269,360,1.0,Urban,N
Male,No,3+,Graduate,No,2520,2615,159,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,3417,1192,136,180,1.0,Urban,Y
Male,No,3+,Graduate,No,5473,1547,108,360,0.0,Urban,N
Male,Yes,2,Graduate,No,5743,3911,204,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,2026,1469,193,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,7634,1933,125,360,1.0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,6430,0,178,180,1.0,Rural,Y
Male,Yes,1,Not Graduate,Yes,3238,1170,74,240,1.0,Rural,Y
Male,No,0,Not Graduate,No,1156,2414,159,360,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,4637,0,172,180,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,3885,1801,235,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,5282,1651,111,240,1.0,Semiurban,Y
Female,No,2,Graduate,No,4092,1561,86,360,1.0,Urban,Y
Male,Yes,3+,Graduate,Yes,-18,3055,105,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,4029,2001,83,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,4235,3717,216,180,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6584,9,227,360,1.0,Urban,Y
Female,Yes,3+,Graduate,No,3254,1703,166,360,1.0,Urban,Y
Female,No,3+,Graduate,No,9196,1626,211,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,220,0,156,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,8277,2934,145,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4439,4987,133,180,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,7148,1474,134,360,1.0,Rural,Y
Male,No,3+,Graduate,No,5199,2257,72,180,1.0,Semiurban,Y
Male,No,1,Not Graduate,Yes,7848,1626,163,360,1.0,Rural,Y
Male,No,0,Graduate,No,4031,429,147,360,1.0,Rural,Y
Male,No,1,Not Graduate,No,2253,0,187,360,1.0,Rural,N
Male,No,3+,Graduate,No,8551,441,154,360,1.0,Rural,Y
Female,No,0,Graduate,Yes,4716,0,141,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,5553,4056,106,360,1.0,Urban,Y
Male,No,2,Graduate,No,8086,1327,153,360,1.0,Urban,Y
Male,No,3+,Graduate,No,2420,981,186,360,1.0,Rural,N
Female,Yes,0,Graduate,No,6488,2833,92,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,3525,0,154,360,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,4669,349,161,360,1.0,Rural,Y
Female,No,0,Graduate,No,5180,1602,114,360,0.0,Semiurban,N
Male,No,1,Not Graduate,No,1249,3043,120,360,0.0,Urban,N
Female,Yes,2,Graduate,No,3052,2252,161,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,8377,1872,93,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,7215,1617,167,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4843,2100,105,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,5607,1802,203,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,4264,0,266,360,0.0,Rural,N
Female,No,3+,Graduate,No,8391,1569,106,360,1.0,Rural,Y
Male,No,2,Not Graduate,No,4499,0,176,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,5579,1621,113,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,7865,779,202,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,3056,5309,86,360,0.0,Rural,N
Male,Yes,2,Graduate,No,8896,1440,174,360,0.0,Urban,N
Male,No,0,Graduate,No,1173,0,106,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,9074,1298,139,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,4068,2279,98,240,1.0,Urban,Y
Male,Yes,0,Graduate,No,4393,4010,191,180,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,274,615,108,360,0.0,Semiurban,N
Male,No,0,Graduate,No,3863,0,177,360,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,2400,2725,132,360,1.0,Semiurban,Y
Female,No,2,Not Graduate,No,3480,0,144,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4656,845,157,360,0.0,Rural,N
Male,No,0,Graduate,No,7394,1113,111,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5519,1395,160,360,0.0,Rural,N
Female,Yes,0,Graduate,No,5769,2533,226,360,0.0,Semiurban,N
Female,No,0,Graduate,No,2261,474,111,120,0.0,Semiurban,N
Male,Yes,2,Graduate,Yes,2798,1089,208,360,1.0,Urban,N
Male,No,3+,Graduate,No,9496,1478,224,240,1.0,Rural,Y
Female,No,3+,Graduate,Yes,3161,1724,109,240,1.0,Rural,Y
Male,Yes,2,Graduate,No,9140,1646,77,360,1.0,Urban,Y
Male,Yes,2,Not Graduate,No,4392,2154,165,360,1.0,Rural,Y
Male,No,2,Not Graduate,No,5005,2765,122,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,7675,2088,243,360,1.0,Urban,Y
Female,Yes,3+,Not Graduate,No,8179,2180,151,360,0.0,Semiurban,N
Female,Yes,2,Not Graduate,No,4722,0,109,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,4029,1575,92,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4860,2219,204,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,5844,2593,121,360,1.0,Rural,Y
Female,No,1,Not Graduate,Yes,7228,461,152,360,0.0,Rural,N
Female,No,3+,Not Graduate,No,5010,511,197,360,1.0,Semiurban,Y
Female,No,1,Graduate,No,6547,638,125,360,0.0,Semiurban,N
Female,Yes,0,Graduate,No,9095,2304,147,360,1.0,Urban,Y
Male,No,3+,Graduate,No,5953,3050,149,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5779,888,184,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,1202,2861,179,360,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,-1576,1685,138,180,1.0,Semiurban,Y
Male,Yes,2,Graduate,Yes,5970,1313,153,360,1.0,Rural,Y
Male,No,3+,Not Graduate,No,4762,1182,131,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,3713,2619,76,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,5608,1988,162,180,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,4848,4913,244,360,0.0,Semiurban,N
Male,No,3+,Graduate,Yes,7819,221,105,360,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,5215,2277,111,360,1.0,Rural,Y
Male,Yes,3+,Graduate,No,3132,706,106,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,7475,196,186,360,0.0,Urban,N
Male,No,3+,Graduate,No,4457,1483,172,360,0.0,Rural,N
Female,No,2,Graduate,No,6316,1706,142,120,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3806,5877,104,360,1.0,Urban,Y
Male,Yes,3+,Graduate,Yes,3375,1223,154,360,1.0,Urban,Y
Female,No,0,Graduate,No,5210,0,71,360,0.0,Urban,N
Male,No,3+,Graduate,No,5032,1909,157,360,0.0,Rural,N
Female,Yes,0,Graduate,No,6199,0,193,180,0.0,Semiurban,N
Male,No,2,Graduate,No,4328,1362,87,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,409,1524,73,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3918,2691,228,360,0.0,Semiurban,N
Male,No,0,Graduate,No,6984,2960,119,180,1.0,Urban,Y
Male,Yes,0,Graduate,No,4256,744,206,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,4384,1274,142,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,7465,350,141,360,0.0,Rural,N
Male,Yes,1,Graduate,No,3220,0,171,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,1142,1964,105,120,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4598,0,156,360,1.0,Semiurban,Y
Female,No,2,Graduate,No,3789,878,130,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,2584,7,83,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4561,2324,166,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,6228,4202,136,360,1.0,Rural,Y
Male,No,2,Graduate,Yes,4976,0,142,120,1.0,Rural,Y
Female,Yes,1,Graduate,No,5767,0,89,360,0.0,Urban,N
Male,No,3+,Graduate,Yes,9533,1312,229,180,0.0,Urban,N
Male,Yes,0,Not Graduate,No,4142,1523,193,360,1.0,Urban,Y
Male,No,0,Graduate,No,5695,1827,198,360,0.0,Semiurban,N
Male,Yes,0,Graduate,No,3726,830,134,360,1.0,Semiurban,Y
Female,No,2,Graduate,No,2884,1199,63,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,3537,2051,247,120,1.0,Rural,Y
Female,No,1,Graduate,No,3803,3060,146,180,1.0,Rural,Y
Male,No,3+,Graduate,No,5898,0,112,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,10872,946,170,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,3209,1820,208,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3958,123,148,240,1.0,Semiurban,Y
Female,Yes,3+,Graduate,Yes,4842,4096,213,180,1.0,Urban,Y
Female,No,1,Not Graduate,No,5989,546,204,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,5658,1438,96,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,8210,2334,116,360,1.0,Urban,Y
Male,Yes,3+,Graduate,Yes,-1065,613,197,360,1.0,Urban,N
Female,Yes,2,Graduate,No,-967,0,50,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,3760,857,142,360,1.0,Rural,Y
Male,No,3+,Graduate,No,7743,3044,78,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,1085,994,126,360,0.0,Rural,N
Female,Yes,1,Graduate,No,-2519,230,135,180,0.0,Urban,N
Male,Yes,1,Graduate,No,6427,2888,132,360,0.0,Semiurban,N
Male,Yes,0,Graduate,No,5609,1003,122,360,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2274,734,95,360,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,2536,1724,264,360,0.0,Rural,N
Female,No,2,Graduate,No,2575,2656,243,360,1.0,Rural,N
Male,Yes,3+,Graduate,No,5276,5072,91,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,3434,2740,229,360,1.0,Urban,Y
Female,Yes,2,Not Graduate,No,6235,3239,130,360,1.0,Urban,Y
Female,Yes,2,Graduate,No,-2136,741,156,360,0.0,Semiurban,N
Male,Yes,1,Graduate,No,2857,0,146,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,Yes,2184,1593,117,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,4359,1660,199,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,3654,0,156,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,6994,1237,126,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,351,2098,84,360,1.0,Rural,Y
Female,No,1,Graduate,No,5113,2040,105,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6395,2256,67,120,1.0,Rural,Y
Male,Yes,3+,Not Graduate,No,9641,1936,150,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,3795,739,90,360,1.0,Semiurban,Y
Female,Yes,2,Not Graduate,No,5811,729,136,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,490,0,218,360,1.0,Semiurban,N
Female,Yes,2,Graduate,Yes,-979,4177,209,360,1.0,Urban,N
Female,Yes,0,Not Graduate,No,7111,1520,148,360,0.0,Rural,N
Female,Yes,0,Graduate,No,4986,1162,145,360,0.0,Rural,N
Male,No,0,Graduate,No,7946,106,243,180,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,1566,5903,176,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,6299,0,133,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9672,856,78,240,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6049,2123,169,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,5691,2400,191,360,0.0,Urban,N
Male,Yes,0,Not Graduate,No,5021,2936,118,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,1072,4211,164,360,0.0,Semiurban,N
Male,Yes,0,Graduate,No,8388,2259,131,360,1.0,Rural,Y
Male,Yes,2,Graduate,No,3472,0,140,360,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,6261,1114,50,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,1092,1961,138,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,2051,4602,198,180,1.0,Rural,N
Male,No,0,Not Graduate,No,8587,0,118,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,4131,3303,152,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,Yes,8633,1769,112,240,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4804,2756,168,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,395,1347,139,360,1.0,Urban,Y
Male,No,0,Not Graduate,No,7230,236,103,360,1.0,Rural,Y
Male,Yes,3+,Graduate,Yes,3525,2626,216,360,1.0,Rural,Y
Male,No,1,Not Graduate,No,6746,2481,196,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,5063,2958,119,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1142,1480,174,120,1.0,Rural,Y
Female,No,3+,Graduate,No,5410,600,176,240,1.0,Semiurban,Y
Female,No,0,Graduate,Yes,10490,0,182,180,1.0,Rural,Y
Male,No,0,Graduate,No,6232,2729,65,180,1.0,Semiurban,Y
Male,No,2,Graduate,No,4856,2135,200,360,1.0,Urban,Y
Female,Yes,0,Graduate,No,7688,51,121,360,0.0,Rural,N
Male,No,0,Graduate,No,5526,692,132,180,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,5523,799,281,360,1.0,Urban,N
Male,No,3+,Graduate,No,2270,0,165,120,0.0,Semiurban,N
Male,Yes,1,Graduate,Yes,5584,273,130,360,1.0,Semiurban,Y
Female,No,2,Graduate,No,7588,0,50,360,0.0,Rural,N
Female,Yes,3+,Graduate,No,2909,881,219,360,1.0,Rural,N
Male,Yes,0,Graduate,No,8561,391,82,120,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4770,0,99,360,0.0,Semiurban,N
Male,No,0,Graduate,Yes,2780,4533,133,360,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,7494,3378,220,360,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,4283,331,188,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,6898,1908,142,360,1.0,Rural,Y
Female,Yes,2,Graduate,No,4270,2126,165,360,1.0,Urban,Y
Male,No,2,Not Graduate,No,4850,3286,119,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,6233,272,156,360,1.0,Semiurban,Y
Female,No,3+,Not Graduate,No,5727,3138,153,360,1.0,Semiurban,Y
Female,Yes,3+,Not Graduate,No,11,678,198,360,1.0,Semiurban,N
Male,Yes,3+,Not Graduate,Yes,2196,0,198,360,1.0,Semiurban,N
Male,No,0,Graduate,No,7323,2586,174,360,1.0,Semiurban,Y
Male,No,2,Graduate,Yes,4669,3436,131,120,0.0,Urban,N
Male,Yes,0,Graduate,No,3690,5381,187,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1603,0,145,360,1.0,Urban,Y
Female,No,0,Graduate,Yes,2300,2548,95,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,-54,885,129,360,1.0,Rural,Y
Male,No,2,Graduate,No,4746,2675,154,360,1.0,Rural,Y
Male,No,0,Not Graduate,No,3503,0,195,360,0.0,Semiurban,N
Male,No,0,Graduate,Yes,2583,0,140,360,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,4829,336,89,360,0.0,Urban,N
Female,No,0,Not Graduate,No,5909,1618,152,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,10232,538,155,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,1220,2488,159,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,7898,3040,195,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,7432,2399,200,360,1.0,Rural,Y
Male,No,0,Graduate,No,3052,3928,120,240,1.0,Semiurban,Y
Male,No,0,Graduate,No,5508,2123,119,360,1.0,Urban,Y
Male,No,3+,Graduate,No,3855,0,97,360,0.0,Semiurban,N
Male,Yes,2,Graduate,No,5464,3545,184,360,0.0,Semiurban,N
Male,Yes,2,Graduate,No,8772,592,222,240,1.0,Urban,Y
Male,Yes,0,Graduate,No,6514,2865,134,360,1.0,Rural,Y
Male,No,1,Graduate,No,6271,3860,137,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3924,2185,223,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,1289,0,175,120,0.0,Rural,N
Female,Yes,3+,Graduate,No,4478,122,171,180,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,8016,3484,90,180,1.0,Urban,Y
Male,No,3+,Graduate,No,1182,1246,183,360,1.0,Urban,N
Male,Yes,2,Graduate,No,2362,1619,103,360,1.0,Rural,Y
Male,No,0,Graduate,No,5315,2638,93,360,1.0,Urban,Y
Male,No,3+,Graduate,No,2538,2544,132,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3018,1918,120,180,1.0,Semiurban,Y
Female,Yes,1,Not Graduate,No,3941,1186,138,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1585,1030,77,360,1.0,Semiurban,Y
Male,No,0,Not Graduate,Yes,2564,2786,197,360,1.0,Semiurban,N
Male,Yes,1,Graduate,No,6758,2330,206,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,1731,1114,52,360,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,1005,3123,198,360,1.0,Semiurban,N
Female,No,1,Not Graduate,No,3424,1306,109,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6829,222,192,360,1.0,Urban,Y
Female,No,0,Graduate,Yes,4507,361,146,360,1.0,Semiurban,Y
Female,No,1,Graduate,No,3838,31,151,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,5110,1091,140,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,635,3350,210,360,1.0,Rural,N
